Brand,Km_Driven,Fuel,Owner,Selling_Price
Hyundai,31646,CNG,Third Owner,358505
Honda,41754,Diesel,Forth & Above Owner,104979
Hyundai,6316,LPG,Forth & Above Owner,158550
Skoda,135014,Petrol,First Owner,279857
Toyota,78334,Petrol,Forth & Above Owner,210982
Mahindra,71530,Diesel,Third Owner,322916
Volkswagen,60384,LPG,Second Owner,341158
Kia,103736,Petrol,Third Owner,478470
Jaguar,54087,LPG,First Owner,147491
Fiat,142493,CNG,Forth & Above Owner,487957
Jeep,174943,CNG,Forth & Above Owner,108055
Jaguar,7263,CNG,Second Owner,101039
Skoda,10671,Petrol,Third Owner,285254
TATA,122530,LPG,Third Owner,118305
Jeep,182422,Petrol,First Owner,484933
Volkswagen,95239,LPG,Forth & Above Owner,440148
Volkswagen,25654,Diesel,Forth & Above Owner,388197
TATA,195501,Petrol,First Owner,492122
Mahindra,157829,Petrol,Second Owner,222369
Mercedes,66231,LPG,Second Owner,144455
Hyundai,107472,LPG,Second Owner,249161
Volkswagen,153312,Diesel,Third Owner,122561
Mahindra,60331,Petrol,Forth & Above Owner,357792
Jaguar,51326,LPG,Second Owner,123759
Volkswagen,49987,Petrol,Third Owner,145981
BMW,161242,Petrol,Forth & Above Owner,393452
Jeep,176316,CNG,Second Owner,219059
Kia,69891,Diesel,Third Owner,181273
Volkswagen,91329,CNG,Second Owner,154814
Jaguar,54151,LPG,Forth & Above Owner,369268
Audi,117599,Diesel,Second Owner,414407
Skoda,120793,Diesel,Second Owner,433481
Jeep,91347,CNG,Second Owner,458535
Hyundai,195125,LPG,First Owner,343218
Jaguar,154700,Diesel,Third Owner,254976
TATA,57379,Diesel,Forth & Above Owner,283900
Jeep,29643,Petrol,First Owner,282550
Hyundai,176061,Diesel,First Owner,396970
Mercedes,38657,Petrol,Forth & Above Owner,234359
Audi,149590,CNG,First Owner,493594
Volvo,21823,Diesel,First Owner,431091
BMW,92469,Petrol,First Owner,359480
Honda,27525,CNG,Third Owner,425997
Volkswagen,24213,Petrol,First Owner,378177
Volkswagen,10524,Diesel,Forth & Above Owner,268967
Kia,111552,Petrol,Second Owner,115842
Skoda,100662,Petrol,Forth & Above Owner,122369
Hyundai,83004,Petrol,First Owner,405513
TATA,80634,Diesel,Forth & Above Owner,175931
Volkswagen,41708,Petrol,First Owner,208731
Skoda,181926,LPG,Forth & Above Owner,245127
Kia,56231,Diesel,Forth & Above Owner,112942
Skoda,158545,Petrol,Second Owner,334146
BMW,52842,CNG,Third Owner,325005
Jeep,88526,Petrol,Forth & Above Owner,195976
Audi,198609,CNG,Second Owner,371822
Jaguar,27152,CNG,First Owner,193758
Volvo,87569,CNG,Third Owner,143800
Mercedes,199705,Diesel,Second Owner,130238
Kia,119566,CNG,First Owner,374437
BMW,184882,CNG,First Owner,435108
Skoda,121070,CNG,First Owner,258899
Volvo,63417,Petrol,Third Owner,215721
Honda,20552,LPG,Third Owner,492292
Audi,118019,LPG,Forth & Above Owner,101876
BMW,109774,LPG,Third Owner,431156
TATA,134976,CNG,Forth & Above Owner,368506
Mercedes,143324,CNG,Third Owner,124794
Volkswagen,194852,Petrol,First Owner,267617
Jaguar,114927,Petrol,Forth & Above Owner,139733
BMW,135744,CNG,Forth & Above Owner,219299
Mahindra,89843,CNG,Forth & Above Owner,188193
TATA,141707,Petrol,Second Owner,415666
Hyundai,35683,Diesel,First Owner,496030
Audi,7277,Diesel,Forth & Above Owner,160144
Jeep,141860,LPG,First Owner,200864
Volvo,8417,CNG,Third Owner,428180
Mercedes,141687,CNG,Third Owner,400005
Volvo,76501,Diesel,Third Owner,468748
Jeep,188539,Diesel,Second Owner,167165
Volvo,122382,Diesel,Third Owner,112625
Mercedes,44838,CNG,Forth & Above Owner,180273
Audi,171365,Diesel,Forth & Above Owner,472647
Volvo,157638,CNG,Third Owner,272816
Toyota,43764,Diesel,Forth & Above Owner,350504
Fiat,175406,Diesel,First Owner,141767
Jeep,190894,Petrol,First Owner,373762
Fiat,199502,Petrol,Second Owner,486257
Kia,137077,Diesel,Second Owner,473299
BMW,59682,CNG,Forth & Above Owner,255153
Jaguar,10055,Petrol,Third Owner,387719
Volvo,155457,Petrol,Forth & Above Owner,324810
Honda,140518,LPG,Forth & Above Owner,342586
Mercedes,123765,LPG,Third Owner,445598
Toyota,139574,CNG,First Owner,321509
Skoda,13515,LPG,First Owner,467242
Honda,157580,CNG,Second Owner,249252
Mahindra,38331,LPG,Second Owner,152540
Honda,83195,CNG,Second Owner,297932
BMW,49306,CNG,Forth & Above Owner,468586
